상품명,가격,이미지_URL
다논)액티비아업플레인210ml,2200,https://www.7-eleven.co.kr/upload/product/8809274/510916.1.jpg
다논)액티비아업딸기210ml,2200,https://www.7-eleven.co.kr/upload/product/8809274/510893.1.jpg
덴마크)딸기딸기우유300ml,2000,https://www.7-eleven.co.kr/upload/product/8801155/731632.1.jpg
덴마크)초코초코우유300ml,2000,https://www.7-eleven.co.kr/upload/product/8801155/731625.1.jpg
덴마크)바나바나우유300ml,2000,https://www.7-eleven.co.kr/upload/product/8801155/731830.1.jpg
다논)액티비아업복숭아210ml,2200,https://www.7-eleven.co.kr/upload/product/8809274/512651.1.jpg
빙그레)스페셜티예가체프460ml,2700,https://www.7-eleven.co.kr/upload/product/8801104/667043.1.jpg
풀무원)요거톡스타볼132g,2200,https://www.7-eleven.co.kr/upload/product/8809274/513948.1.jpg
PB)오구딸기타임200ml,1300,https://www.7-eleven.co.kr/upload/product/8801104/671842.1.jpg
PB)오구초코타임200ml,1300,https://www.7-eleven.co.kr/upload/product/8801104/671859.1.jpg
빙그레)아이스티복숭아300ml,1400,https://www.7-eleven.co.kr/upload/product/8801104/671002.1.jpg
다논)액티비아스무디딸기바나나1,2000,https://www.7-eleven.co.kr/upload/product/8809274/514945.1.jpg
빙그레)스페셜티안티오키아460ml,2700,https://www.7-eleven.co.kr/upload/product/8801104/940603.1.jpg
PB)산리오레몬아이스티제로350ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)산리오복숭아아이스티제로350,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)빵빵이아이스볼 사과&소다향,2000,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)촉촉닭안심바오리지널80g,2900,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)이프바닐라컵팝콘75g,2000,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)아메리카노300ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)카라멜마끼아또300ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)바닐라라떼300ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)카페라떼300ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)포도&파인애플아이스볼,2000,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)열파닭볶음면큰컵,2300,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)복숭아아이스컵200ml,2500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)제로곤약젤리청포도140ml,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)제로곤약젤리복숭아140ml,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)제로곤약젤리사과140ml,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)카페모카300ml,2800,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)착한꿀호떡95g,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)꼬부기소다향젤리40g,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)피카츄콜라맛젤리40g,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)쿵야메론빙수270ml,3000,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)산리오K리그베리베리사우어젤,1500,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
PB)K리그팝콘200g,5000,https://www.7-eleven.co.kr/front/img/product/product_list_01.jpg
